iter	Passed	Remaining
808	59882	14137
809	59952	14062
810	60015	13986
811	60086	13911
812	60150	13835
813	60226	13761
814	60292	13686
815	60360	13610
816	60422	13534
817	60486	13457
818	60572	13386
819	60726	13330
820	60909	13279
821	61017	13212
822	61096	13139
823	61174	13066
824	61275	12997
825	61347	12923
826	61415	12847
827	61476	12770
828	61534	12692
829	61593	12615
830	61665	12540
831	61735	12465
832	61798	12389
833	61863	12313
834	61933	12238
835	62017	12166
836	62126	12098
837	62205	12025
838	62281	11951
839	62347	11875
840	62409	11799
841	62480	11724
842	62551	11649
843	62613	11573
844	62674	11496
845	62736	11420
846	62795	11343
847	62851	11265
848	62910	11189
849	62994	11116
850	63078	11044
851	63190	10976
852	63258	10901
853	63342	10828
854	63413	10754
855	63482	10679
856	63549	10603
857	63617	10528
858	63686	10453
859	63757	10379
860	63824	10303
861	63888	10228
862	63958	10153
863	64030	10078
864	64096	10003
865	64164	9928
866	64233	9853
867	64302	9778
868	64368	9703
869	64434	9628
870	64496	9552
871	64559	9476
872	64628	9401
873	64730	9331
874	64884	9269
875	64992	9199
876	65078	9127
877	65163	9054
878	65256	8982
879	65416	8920
880	65551	8854
881	65629	8780
882	65696	8704
883	65803	8634
884	65919	8565
885	66022	8495
886	66110	8422
887	66189	8348
888	66259	8273
889	66318	8196
890	66384	8121
891	66451	8045
892	66518	7970
893	66581	7894
894	66642	7818
895	66701	7742
896	66762	7666
897	66827	7590
898	66889	7514
899	66957	7439
900	67123	7375
901	67192	7300
902	67252	7224
903	67320	7149
904	67403	7075
905	67552	7008
906	67647	6936
907	67704	6859
908	67774	6784
909	67832	6708
910	67976	6640
911	68064	6567
912	68137	6492
913	68207	6417
914	68286	6343
915	68467	6278
916	68557	6205
917	68628	6130
918	68695	6054
919	68796	5982
920	68948	5914
921	69017	5838
922	69095	5764
923	69161	5688
924	69224	5612
925	69280	5536
926	69345	5460
927	69406	5384
928	69468	5309
929	69529	5233
930	69591	5157
931	69648	5081
932	69708	5005
933	69776	4930
934	69853	4856
